
b'2018-11-24T20:27:55.293000Z 4139.05\n'
b'2018-11-24T20:27:56.261000Z 4137.31\n'
b'2018-11-24T20:27:58.761000Z 4137.58\n'
b'2018-11-24T20:27:59.263000Z 4138.87\n'
b'2018-11-24T20:27:59.788000Z 4138.87\n'
b'2018-11-24T20:28:02.079000Z 4137.78\n'
b'2018-11-24T20:28:03.675000Z 4139.85\n'
b'2018-11-24T20:28:03.675000Z 4139.88\n'
b'2018-11-24T20:28:03.776000Z 4139.86\n'
b'2018-11-24T20:28:03.776000Z 4139.86\n'
b'2018-11-24T20:28:04.381000Z 4139.82\n'
b'2018-11-24T20:28:04.664000Z 4139.82\n'
b'2018-11-24T20:28:07.617000Z 4139.67\n'
b'2018-11-24T20:28:08.114000Z 4139.66\n'
b'2018-11-24T20:28:08.980000Z 4137.91\n'
b'2018-11-24T20:28:08.980000Z 4137.9\n'
b'2018-11-24T20:28:09.520000Z 4139.6\n'
b'2018-11-24T20:28:10.480000Z 4137.87\n'
b'2018-11-24T20:28:10.480000Z 4137.02\n'
b'2018-11-24T20:28:13.522000Z 4137.04\n'
b'2018-11-24T20:28:14.096000Z 4137.04\n'
b'2018-11-24T20:28:15.925000Z 4139.46\n'
b'2018-11-24T20:28:15.925000Z 4139.54\n'
b'2018-11-24T20:28:16.379000Z 4139.8\n'
b'2018-11-24T20:28:16.656000Z 4139.8\n'
b'2018-11-24T20:28:17.166000Z 4139.8\n'
b'2018-11-24T20:28:18.744000Z 4139.8\n'
b'2018-11-24T20:28:23.129000Z 4137.94\n'
b'2018-11-24T20:28:23.129000Z 4137.94\n'
b'2018-11-24T20:28:23.667000Z 4139.68\n'
b'2018-11-24T20:28:24.191000Z 4137.94\n'
b'2018-11-24T20:28:25.213000Z 4139.6\n'
b'2018-11-24T20:28:25.213000Z 4139.61\n'
b'2018-11-24T20:28:31.559000Z 4139.32\n'
b'2018-11-24T20:28:32.275000Z 4139.28\n'
b'2018-11-24T20:28:32.952000Z 4139.23\n'
b'2018-11-24T20:28:33.493000Z 4137.84\n'
b'2018-11-24T20:28:33.493000Z 4137.82\n'
b'2018-11-24T20:28:33.493000Z 4137.82\n'
b'2018-11-24T20:28:34.272000Z 4139.18\n'
b'2018-11-24T20:28:37.011000Z 4139.11\n'
b'2018-11-24T20:28:37.244000Z 4139.09\n'
b'2018-11-24T20:28:37.244000Z 4139.1\n'
b'2018-11-24T20:28:38.316000Z 4139.1\n'
b'2018-11-24T20:28:40.676000Z 4139.09\n'
b'2018-11-24T20:28:41.846000Z 4139.35\n'
b'2018-11-24T20:28:42.386000Z 4137.39\n'
b'2018-11-24T20:28:42.386000Z 4137.39\n'
b'2018-11-24T20:28:42.953000Z 4137.07\n'
b'2018-11-24T20:28:42.953000Z 4137.05\n'
b'2018-11-24T20:28:42.953000Z 4137.03\n'
b'2018-11-24T20:28:45.207000Z 4138.67\n'
b'2018-11-24T20:28:45.207000Z 4138.07\n'
b'2018-11-24T20:28:50.211000Z 4137.87\n'
b'2018-11-24T20:28:51.073000Z 4137.87\n'
b'2018-11-24T20:28:53.302000Z 4138.24\n'
b'2018-11-24T20:28:55.557000Z 4139.13\n'
b'2018-11-24T20:28:55.557000Z 4139.13\n'
b'2018-11-24T20:28:55.557000Z 4139.14\n'
b'2018-11-24T20:28:55.764000Z 4139.13\n'
b'2018-11-24T20:28:56.417000Z 4139.12\n'
b'2018-11-24T20:28:57.838000Z 4139.12\n'
b'2018-11-24T20:28:59.410000Z 4138.0\n'
b'2018-11-24T20:29:06.141000Z 4137.84\n'
b'2018-11-24T20:29:06.621000Z 4137.15\n'
b'2018-11-24T20:29:06.621000Z 4137.14\n'
b'2018-11-24T20:29:08.442000Z 4137.17\n'
b'2018-11-24T20:29:08.442000Z 4137.0\n'
b'2018-11-24T20:29:10.817000Z 4137.6\n'
b'2018-11-24T20:29:12.404000Z 4137.4\n'
b'2018-11-24T20:29:12.993000Z 4137.4\n'
b'2018-11-24T20:29:13.545000Z 4137.4\n'
b'2018-11-24T20:29:14.393000Z 4137.53\n'
b'2018-11-24T20:29:17.092000Z 4137.25\n'
b'2018-11-24T20:29:17.092000Z 4137.26\n'
b'2018-11-24T20:29:17.799000Z 4137.31\n'
b'2018-11-24T20:29:18.102000Z 4137.6\n'
b'2018-11-24T20:29:18.619000Z 4137.54\n'
b'2018-11-24T20:29:19.913000Z 4137.5\n'
b'2018-11-24T20:29:19.976000Z 4137.31\n'
b'2018-11-24T20:29:22.690000Z 4137.91\n'
b'2018-11-24T20:29:23.065000Z 4137.91\n'
b'2018-11-24T20:29:26.012000Z 4137.01\n'
b'2018-11-24T20:29:26.515000Z 4137.89\n'
b'2018-11-24T20:29:26.602000Z 4137.89\n'
b'2018-11-24T20:29:28.566000Z 4137.91\n'
b'2018-11-24T20:29:32.026000Z 4137.0\n'
b'2018-11-24T20:29:32.873000Z 4137.73\n'
b'2018-11-24T20:29:33.163000Z 4137.0\n'
b'2018-11-24T20:29:35.131000Z 4137.7\n'
b'2018-11-24T20:29:35.414000Z 4137.67\n'
b'2018-11-24T20:29:36.352000Z 4137.62\n'
b'2018-11-24T20:29:38.042000Z 4137.61\n'
b'2018-11-24T20:29:38.537000Z 4137.61\n'
b'2018-11-24T20:29:40.998000Z 4137.61\n'
b'2018-11-24T20:29:41.271000Z 4137.61\n'
b'2018-11-24T20:29:42.127000Z 4137.0\n'
b'2018-11-24T20:29:42.417000Z 4137.01\n'
b'2018-11-24T20:29:48.101000Z 4137.01\n'
b'2018-11-24T20:29:48.265000Z 4137.0\n'
b'2018-11-24T20:29:53.192000Z 4137.01\n'
b'2018-11-24T20:29:53.242000Z 4137.01\n'
b'2018-11-24T20:29:57.501000Z 4137.0\n'
b'2018-11-24T20:29:57.867000Z 4137.01\n'
b'2018-11-24T20:29:58.124000Z 4137.01\n'
b'2018-11-24T20:30:00.399000Z 4137.01\n'
b'2018-11-24T20:30:00.399000Z 4137.01\n'
b'2018-11-24T20:30:00.399000Z 4137.01\n'
b'2018-11-24T20:30:00.654000Z 4137.91\n'
b'2018-11-24T20:30:01.016000Z 4137.91\n'
b'2018-11-24T20:30:02.581000Z 4137.91\n'
b'2018-11-24T20:30:02.652000Z 4140.0\n'
b'2018-11-24T20:30:05.436000Z 4140.0\n'
b'2018-11-24T20:30:05.436000Z 4140.0\n'
